x,y,z,V,Robot
0.36121097,0.2671524,0.80091226,[0.16749504],Franka-Panda
-0.13333155,0.48221916,0.88164407,[0.06853294],Franka-Panda
0.07205116,0.19581829,0.16765642,[0.6988174],Franka-Panda
0.012953229,0.32187036,0.8454795,[0.9457813],Franka-Panda
0.34640288,0.27512634,0.6477392,[0.26754323],Franka-Panda
0.0022333749,-0.31595954,0.48955196,[0.56018794],Franka-Panda
-0.23819378,-0.6517727,0.09677249,[0.32990965],Franka-Panda
-0.13846824,0.07914797,0.26355737,[0.5572544],Franka-Panda
0.28138483,0.27770117,-0.11291471,[0.03663911],Franka-Panda
0.26231465,-0.58263993,0.834809,[0.19495404],Franka-Panda
-0.20117788,0.07804617,0.88545084,[0.47143903],Franka-Panda
0.31274983,-0.10355079,0.5794693,[0.8990383],Franka-Panda
0.24117932,-0.0019168518,0.6904042,[0.71455777],Franka-Panda
0.35671198,0.11274189,0.19827159,[0.36498013],Franka-Panda
-0.25528547,0.092212945,-0.1500305,[0.4412273],Franka-Panda
0.033949766,-0.28968006,-0.17246462,[0.21895385],Franka-Panda
0.5157103,-0.29504576,0.23946518,[0.36768714],Franka-Panda
0.086473435,-0.14795645,-0.016962163,[1.0023241],Franka-Panda
-0.04392829,-0.54294926,0.19051999,[0.17239992],Franka-Panda
0.1659368,0.06643887,0.005060047,[0.95590764],Franka-Panda
0.13326782,0.30643323,0.384238,[0.4775574],Franka-Panda
0.015150277,-0.03723074,0.16607799,[0.5527828],Franka-Panda
-0.47417504,0.18623874,0.55290115,[0.44060233],Franka-Panda
-0.5495106,-0.12177449,-0.22129023,[0.58355415],Franka-Panda
0.38435712,0.31605092,-0.24138938,[0.2118166],Franka-Panda
-0.30594695,0.2297971,0.43352473,[0.18195853],Franka-Panda
0.06357053,0.10776533,0.3896744,[0.2603107],Franka-Panda
-0.47877604,0.28706115,0.08771642,[0.60290575],Franka-Panda
0.18874523,-0.20432498,0.35622856,[0.22055346],Franka-Panda
-0.059613913,0.07093481,0.90974855,[1.0149103],Franka-Panda
-0.19823243,-0.5623229,0.122979484,[0.23584901],Franka-Panda
0.030056834,-0.21815303,0.29604793,[0.7607615],Franka-Panda
0.04305937,0.2232029,0.30895293,[0.5983216],Franka-Panda
0.09681157,-0.15319861,0.6022628,[0.1250951],Franka-Panda
0.04236164,-0.18315563,0.35753876,[0.55399686],Franka-Panda
0.06505747,0.036348417,0.71862644,[0.7031988],Franka-Panda
-0.29477102,0.74555045,0.2774217,[0.87602866],Franka-Panda
0.32016283,0.1121765,0.18381998,[0.02318472],Franka-Panda
-0.02562593,0.22170714,-0.13128668,[0.19138893],Franka-Panda
0.095116094,0.54447377,-0.16365351,[0.03601496],Franka-Panda
-0.42917836,0.069544345,0.7887519,[1.6244913],Franka-Panda
-0.060784254,-0.10224945,0.45349428,[0.43248048],Franka-Panda
-0.3073537,0.50090045,0.31546488,[1.1392668],Franka-Panda
-0.034167003,0.089788556,0.44045016,[0.9735677],Franka-Panda
-0.027903613,-0.2513446,0.41653687,[0.7803325],Franka-Panda
-0.47522393,-0.19096039,-0.2599042,[0.7873993],Franka-Panda
-0.36769202,-0.37265515,0.53522545,[0.07113225],Franka-Panda
0.03154222,0.027525835,0.17859259,[0.7269026],Franka-Panda
-0.051708758,0.25623024,0.1938298,[0.5421267],Franka-Panda
-0.14548564,0.030304117,0.26868093,[0.39634514],Franka-Panda
0.0056612045,-0.28161818,0.09778835,[0.18295272],Franka-Panda
0.33583194,0.027763199,-0.22434203,[0.28227353],Franka-Panda
-0.16813101,0.2661342,0.5416765,[0.88807285],Franka-Panda
-0.026789553,0.20591924,0.28013024,[0.5183082],Franka-Panda
0.030774284,-0.21046963,-0.18879247,[0.24694838],Franka-Panda
0.016005555,0.048146337,0.6730695,[0.08591008],Franka-Panda
0.27681595,-0.41812086,0.36512616,[0.26299942],Franka-Panda
0.08696655,0.115736455,0.18587235,[0.18758628],Franka-Panda
-0.14086552,0.65744895,0.2756857,[0.5529306],Franka-Panda
-0.4552971,0.30936447,0.21356604,[0.15214625],Franka-Panda
-0.06587233,-0.16227028,-0.24304524,[0.8971873],Franka-Panda
-0.3263078,0.0513732,0.51100576,[0.61353654],Franka-Panda
0.05126044,0.085173346,0.4553944,[0.48168904],Franka-Panda
-0.01980884,0.29687324,0.63195455,[0.35617888],Franka-Panda
-0.046273068,0.0035695112,0.38494405,[0.9828804],Franka-Panda
-0.09291428,-0.4437362,-0.22650024,[0.283931],Franka-Panda
-0.17752491,0.10155128,0.9084202,[0.43204182],Franka-Panda
-0.07303039,0.34481004,0.8558145,[0.06734873],Franka-Panda
-0.18118407,0.07578619,0.66631365,[0.29022393],Franka-Panda
0.063320115,-0.43022946,0.1353476,[0.5701302],Franka-Panda
0.31607056,-0.20803717,0.6106239,[0.715512],Franka-Panda
-0.38326368,-0.24579465,0.45056254,[0.86763495],Franka-Panda
-0.15787178,0.41115537,-0.03766813,[0.33839408],Franka-Panda
-0.32648528,-0.18789935,0.21784231,[1.2954435],Franka-Panda
-0.049359646,-0.18214574,0.19886662,[1.0782268],Franka-Panda
-0.20062953,-0.4362406,0.6344843,[0.24059208],Franka-Panda
0.4541176,-0.30415475,-0.30343398,[0.13561612],Franka-Panda
-0.3966048,0.028905481,-0.12733482,[0.8594974],Franka-Panda
0.10667946,-0.6059174,0.60851413,[0.24423178],Franka-Panda
-0.20919162,0.036406763,0.21713585,[0.17960125],Franka-Panda
0.108172804,0.18485168,0.19082378,[0.06783207],Franka-Panda
-0.22607762,0.22454774,0.82489765,[0.21293436],Franka-Panda
0.055456225,-0.18913125,0.31701288,[0.19424321],Franka-Panda
-0.13088629,-0.19347142,0.4856466,[0.5820262],Franka-Panda
-0.17664543,0.43460327,0.337905,[0.69635034],Franka-Panda
0.20341174,0.2993496,0.3500917,[0.77423733],Franka-Panda
0.27285892,0.0071733706,1.0910612,[0.43873563],Franka-Panda
-0.28804234,-0.17650348,0.2591277,[0.7255125],Franka-Panda
-0.34810063,-0.21575451,-0.097015694,[0.5370809],Franka-Panda
0.20456074,0.30588296,0.46319577,[0.6158264],Franka-Panda
0.17678249,-0.086022474,0.48443156,[0.1346286],Franka-Panda
-0.25304192,0.14002813,0.21129659,[0.1957713],Franka-Panda
0.2655905,0.19417308,0.2823185,[0.39487523],Franka-Panda
0.091304675,0.07501493,0.96430117,[0.86210734],Franka-Panda
0.025835086,0.015785255,0.17502919,[0.77272946],Franka-Panda
-0.1094484,-0.29712233,0.8238489,[0.5748971],Franka-Panda
-0.123093456,0.4507358,1.0201675,[0.812013],Franka-Panda
0.12786996,-0.094490714,0.63267046,[0.08496281],Franka-Panda
-0.23605126,-0.04800833,1.1024946,[0.5318766],Franka-Panda
-0.4353577,-0.01954998,0.48106334,[0.08251514],Franka-Panda
-0.076143995,0.10594061,0.41928247,[0.5892281],Franka-Panda
0.40049973,0.3260414,-0.32422322,[0.17326955],Franka-Panda
-0.35977304,0.5664407,0.8390981,[0.1159999],Franka-Panda
-0.56836385,-0.012960233,0.20220834,[0.20186146],Franka-Panda
0.023787778,-0.4505298,0.7433499,[0.42374822],Franka-Panda
0.1470058,0.06166204,0.49881718,[0.1581909],Franka-Panda
0.05028653,-0.10964623,0.25659114,[0.29106775],Franka-Panda
-0.2233226,-0.08779363,0.23981804,[0.2683786],Franka-Panda
0.26527247,-0.51407224,0.875481,[0.60420024],Franka-Panda
0.099967375,0.022721283,0.38015255,[0.1041484],Franka-Panda
0.052237857,-0.014634639,0.2777373,[0.16484702],Franka-Panda
0.23676917,-0.11003453,0.41595563,[0.0380406],Franka-Panda
0.05317384,0.033956204,-0.3037768,[0.22921251],Franka-Panda
0.1743034,-0.24124277,-0.204591,[0.25161347],Franka-Panda
-0.18787836,-0.09577642,0.34904972,[0.1921826],Franka-Panda
0.26732275,0.43366706,0.361125,[0.09681899],Franka-Panda
-0.15711665,-0.406869,0.6217816,[0.8035583],Franka-Panda
-0.21656352,0.0015892535,-0.21770862,[0.21484216],Franka-Panda
0.1056002,0.11625859,0.25977293,[1.254214],Franka-Panda
-0.48612428,-0.4802676,0.38214266,[0.44777584],Franka-Panda
0.25697368,0.3433107,0.9535855,[0.7622072],Franka-Panda
-0.049029656,-0.17271885,-0.2337057,[0.9657002],Franka-Panda
-0.009691361,0.048818275,0.8652289,[0.4970804],Franka-Panda
-0.114572175,0.054428704,0.30638847,[0.49478975],Franka-Panda
-0.22599134,0.2157263,-0.32708406,[0.5712559],Franka-Panda
-0.09565206,0.12563907,0.1643392,[0.03454454],Franka-Panda
-0.70554185,0.19020711,0.69838554,[1.2031032],Franka-Panda
-0.2674262,-0.20845687,0.104416065,[0.32822254],Franka-Panda
0.17669202,0.057086613,0.10923581,[0.14634247],Franka-Panda
0.16439733,0.29082507,-0.1841861,[0.29644716],Franka-Panda
0.30065882,-0.6273953,0.20773748,[0.1460175],Franka-Panda
-0.021426575,-0.6011351,-0.008800689,[0.11578546],Franka-Panda
-0.116147384,-0.2365146,0.6949801,[0.381323],Franka-Panda
-0.19811106,-0.6040869,0.36672017,[0.16684975],Franka-Panda
-0.38917932,-0.19273576,0.52144504,[0.13530278],Franka-Panda
-0.01653421,-0.116277754,-0.3650728,[1.099966],Franka-Panda
0.37295794,-0.019401222,0.20692125,[0.19060041],Franka-Panda
-0.04954367,0.21675166,0.91937584,[0.16161592],Franka-Panda
-0.18188646,0.32106057,0.42094076,[1.0806817],Franka-Panda
0.097486794,0.04023654,0.33414167,[0.26100144],Franka-Panda
-0.13614225,-0.18072048,0.68437946,[0.32058024],Franka-Panda
-0.71114826,0.25630695,0.36765373,[0.56631947],Franka-Panda
0.40144265,-0.038424864,0.71638256,[0.11122268],Franka-Panda
-0.01664969,-0.07992327,0.30326802,[0.049266],Franka-Panda
-0.25236613,-0.028478712,0.8722339,[0.43738908],Franka-Panda
-0.099267945,-0.16682453,0.38132536,[0.57895917],Franka-Panda
0.031023607,0.053444386,0.6329151,[0.2280625],Franka-Panda
-0.061066978,0.11660899,-0.5102301,[0.040408],Franka-Panda
-0.05807038,-0.36213493,0.77598923,[0.5594158],Franka-Panda
-0.14341757,-0.05558022,0.1681608,[0.09841045],Franka-Panda
0.026960202,-0.04904452,0.28970012,[0.28950498],Franka-Panda
0.29417512,-0.23802084,0.5949927,[0.16732302],Franka-Panda
-0.32220703,-0.05226846,0.28442815,[0.08569727],Franka-Panda
-0.38357604,-0.27892715,0.52848595,[0.9439664],Franka-Panda
0.06862916,-0.032551035,0.26576865,[0.41230527],Franka-Panda
0.07932581,0.007755108,0.1330649,[0.20232366],Franka-Panda
0.45164937,0.22296229,0.6962381,[0.67029047],Franka-Panda
0.18734309,0.25057352,0.80124944,[1.1310059],Franka-Panda
0.21892086,0.046070717,0.23541664,[1.3340601],Franka-Panda
0.28380537,0.2157327,0.1822993,[0.41769838],Franka-Panda
